,ENABLE_SPOTTING,ENABLE_SURFACE_FIRE_SPOTTING,SURFACE_FIRE_SPOTTING_PERCENT,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_TYPE,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_HI,NEMBERS_MAX_HI,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CROWN_FIRE_SPOTTING_PERCENT_MAX,PIGN_MAX,WIND_SPEED,WIND_DIRECTION,CC,CBH,CH,CBD,M1,M10,M100
0,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
1,0.59375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
2,0.09375,0.59375,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
3,0.09375,0.46875,0.53125,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
4,0.09375,0.46875,0.46875,937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
5,0.09375,0.46875,0.46875,3937.5,1.15625,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
6,0.09375,0.46875,0.46875,3937.5,1.28125,1689.84375,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
7,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.21875,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
8,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.40937500000000004,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
9,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.46562500000000007,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
10,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,2.71875,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
11,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
12,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.915625,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
13,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,47.40625,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
14,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,19.375,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
15,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-157.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
16,0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,13.125,-112.5,-0.09375,2.8125,1.3125,0.056249999999999994,-0.9375,0.4375,0.8125
